feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
K15711	0.9253111849276748	meat	0.0016399836001639	0.9990259899418422	100000	False
ENOG4111IRS	0.9179149043563968	meat	0.0023399766002339	0.9990259899418422	100000	False
COG1760	0.9147625339064132	meat	0.0024099759002409	0.9990259899418422	100000	False
COG1488	0.9067165949262732	meat	0.0025099749002509	0.9990259899418422	100000	False
COG0413	0.8918387914165484	dairy	0.0033199668003319	0.9990259899418422	100000	False
ENOG4111GVE	0.8824730079481379	dairy	0.0037099629003709	0.9990259899418422	100000	False
ENOG4111F8R	0.8799672048020253	dairy	0.0037199628003719	0.9990259899418422	100000	False
ENOG410ZW8V	0.8876536849009607	dairy	0.0040299597004029	0.9990259899418422	100000	False
COG0697	0.9194403129008524	meat	0.0049699503004969	0.9990259899418422	100000	False
N_AQ.1554	0.8825173268173854	meat	0.0052499475005249	0.9999377188118148	100000	False
K06890	0.9123911047156336	meat	0.0062399376006239	0.9990259899418422	100000	False
PF01743	0.8898365743720753	meat	0.0067299327006729	0.9990259899418422	100000	False
COG0185	0.9022792918298228	meat	0.0067899321006789	0.9990259899418422	100000	False
COG2039	0.915425009150658	meat	0.0068299317006829	0.9990259899418422	100000	False
PF04977	0.910498026712007	meat	0.0071899281007189	0.9990259899418422	100000	False
K05787	0.9073109857543106	meat	0.0072199278007219	0.9990259899418422	100000	False
COG1085	0.9083640437403436	meat	0.0073799262007379	0.9990259899418422	100000	False
COG0516	0.903706709801692	meat	0.0074399256007439	0.9990259899418422	100000	False
ENOG410ZJ65	0.8718026260413975	dairy	0.0075199248007519	0.9990259899418422	100000	False
ENOG410Z56P	0.896302787261438	meat	0.0079699203007969	0.9990259899418422	100000	False
COG1682	0.8848684513428658	meat	0.0080199198008019	0.9990259899418422	100000	False
N_AQ.921	0.880059933730711	meat	0.0080899191008089	0.9999377188118148	100000	False
PF02595	0.8842584796012372	meat	0.0081899181008189	0.9990259899418422	100000	False
PF02551	0.8814092184615231	meat	0.0082599174008259	0.9990259899418422	100000	False
N_LP.276	0.8407393287609961	dairy	0.0084999150008499	0.9999377188118148	100000	False
N_LP.821	0.8864640198369577	meat	0.0087599124008759	0.9999377188118148	100000	False
ENOG410XNN3	0.90141242186558	meat	0.0090899091009089	0.9990259899418422	100000	False
N_LP.289	0.908402443284334	meat	0.0091999080009199	0.9999377188118148	100000	False
ENOG410XR0J	0.8673645223003883	dairy	0.0092899071009289	0.9990259899418422	100000	False
K08316	0.881448179436629	meat	0.0095699043009569	0.9990259899418422	100000	False
COG1173	0.8852593678382785	meat	0.0097399026009739	0.9990259899418422	100000	False
COG0612	0.8665063529852692	dairy	0.0098599014009859	0.9990259899418422	100000	False
PF03065	0.8568241149085838	dairy	0.0101598984010159	0.9990259899418422	100000	False
PF18986	0.9033757217804012	meat	0.0103198968010319	0.9990259899418422	100000	False
P_LP.3	0.8831567757584422	meat	0.0104598954010459	0.9999377188118148	100000	False
COG1464	0.891009031918105	meat	0.0105298947010529	0.9990259899418422	100000	False
K08372	0.8849114254230891	meat	0.0109698903010969	0.9990259899418422	100000	False
PF13414	0.8624569204863015	dairy	0.0110298897011029	0.9990259899418422	100000	False
PF02897	0.8891753043890646	meat	0.0111498885011149	0.9990259899418422	100000	False
K00325	0.8697125228967252	meat	0.0113698863011369	0.9990259899418422	100000	False
ENOG410YP4K	0.8440568850059548	dairy	0.0115098849011509	0.9990259899418422	100000	False
