feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
PF03885	0.9518617516159716	endpoint	1.999980000199998e-05	0.159339374348192	100000	False
P_AQ.701	0.929089987715927	baseline	1.999980000199998e-05	0.1773382266177338	100000	False
ENOG4111GFI	0.9333960249051636	endpoint	2.999970000299997e-05	0.159339374348192	100000	False
ENOG4111X7D	0.9300129310412136	endpoint	2.999970000299997e-05	0.159339374348192	100000	False
P_LP.250	0.9395075201773458	baseline	3.999960000399996e-05	0.1773382266177338	100000	False
ENOG41100UY	0.9146590781278496	endpoint	5.999940000599994e-05	0.159339374348192	100000	False
ENOG4111NUU	0.93256923544809	endpoint	6.999930000699993e-05	0.159339374348192	100000	False
ENOG410XTM1	0.9009957526767118	endpoint	7.999920000799993e-05	0.159339374348192	100000	False
P_LP.2079	0.9121421326646374	endpoint	8.99991000089999e-05	0.2430190512909685	100000	False
ENOG411261G	0.9276983603143212	endpoint	8.99991000089999e-05	0.159339374348192	100000	False
ENOG4111FXP	0.9363220849614908	endpoint	9.99990000099999e-05	0.159339374348192	100000	False
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Anaeromassilibacillus.s_Unclassified.Anaeromassilibacillus	0.8883377796042418	endpoint	0.0001099989000109	0.159339374348192	100000	False
COG4481	0.927795299766422	endpoint	0.0001299987000129	0.159339374348192	100000	False
ENOG4112DBJ	0.9391163613908046	endpoint	0.0001499985000149	0.159339374348192	100000	False
N_AQ.314	0.9275968961544798	baseline	0.0001599984000159	0.2430190512909685	100000	False
ENOG410Y9CY	0.9080877368730051	endpoint	0.0001599984000159	0.159339374348192	100000	False
ENOG410YI7C	0.8954052726891106	endpoint	0.0001599984000159	0.159339374348192	100000	False
ENOG410XQTH	0.9332228876572416	endpoint	0.0001699983000169	0.159339374348192	100000	False
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Blautia.s_Blautia.luti	0.9107034509434674	endpoint	0.0001799982000179	0.159339374348192	100000	False
ENOG410ZVJF	0.9235827071743412	endpoint	0.0001799982000179	0.159339374348192	100000	False
ENOG410XX6V	0.9259330776547572	endpoint	0.0001899981000189	0.159339374348192	100000	False
ENOG410XPR3	0.9262673682468892	endpoint	0.0001999980000199	0.159339374348192	100000	False
ENOG4111WS7	0.9104597271871184	endpoint	0.0001999980000199	0.159339374348192	100000	False
ENOG4111GBX	0.9062215992228474	endpoint	0.0002099979000209	0.159339374348192	100000	False
ENOG41118GD	0.8943050130062932	endpoint	0.0002399976000239	0.159339374348192	100000	False
N_AQ.556	0.8948735400457503	baseline	0.0002499975000249	0.2430190512909685	100000	False
PF06415	0.9127343878747928	endpoint	0.0002499975000249	0.159339374348192	100000	False
ENOG41129SD	0.9212118032413495	endpoint	0.0002499975000249	0.159339374348192	100000	False
K00390	0.9154032787401488	baseline	0.0002599974000259	0.159339374348192	100000	False
ENOG410YV6W	0.9145597045591914	endpoint	0.0002599974000259	0.159339374348192	100000	False
N_AQ.767	0.923901837668152	baseline	0.0002599974000259	0.2430190512909685	100000	False
N_LP.1826	0.9147688309304792	baseline	0.0002599974000259	0.2430190512909685	100000	False
ENOG4112A2A	0.9088606470399132	endpoint	0.0002599974000259	0.159339374348192	100000	False
ENOG410YAFU	0.91718131721835	endpoint	0.0002699973000269	0.159339374348192	100000	False
ENOG4111I0X	0.897620673545228	endpoint	0.0002799972000279	0.159339374348192	100000	False
ENOG4111NYT	0.9254676817138624	baseline	0.0002899971000289	0.159339374348192	100000	False
ENOG410YQEP	0.9122821445224664	endpoint	0.0002899971000289	0.159339374348192	100000	False
