emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	5.855181001545973e-14	2.142174489112328e-16	4.7837289349625286e-21	6.299312702389884e-19	3.910194531192299e-18
p_0.8055551041134607_q_0.1_g_1	5.855181001545973e-14	0.0	1.9551498047797822e-13	1.0009907648312526e-13	3.982564340093977e-12	5.472858712292749e-13
p_1.0795506927238254_q_8.383911078685804_g_1	2.142174489112328e-16	1.9551498047797822e-13	0.0	1.0902330509803387e-16	2.760738882723555e-19	5.300286044548578e-16
p_19.0_q_8.483911078685804_g_2	4.7837289349625286e-21	1.0009907648312526e-13	1.0902330509803387e-16	0.0	5.578547317529542e-20	2.7115523062954114e-21
p_19.0_q_9.122152261131532_g_1	6.299312702389884e-19	3.982564340093977e-12	2.760738882723555e-19	5.578547317529542e-20	0.0	5.5190051918467435e-19
p_7.305688086564288_q_7.517332462471247_g_2	3.910194531192299e-18	5.472858712292749e-13	5.300286044548578e-16	2.7115523062954114e-21	5.5190051918467435e-19	0.0
