emb_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_5.5_q_9.010757520712524_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	5.755769158263224e-44	8.317748426379656e-43	3.0086478145637806e-46	3.884849312473403e-43
p_19.0_q_8.483911078685804_g_2	5.755769158263224e-44	0.0	3.560419599150921e-56	2.2436970190937838e-54	1.1758603605715263e-49
p_19.0_q_9.122152261131532_g_1	8.317748426379656e-43	3.560419599150921e-56	0.0	4.234960416925093e-52	1.492397137570183e-53
p_5.5_q_9.010757520712524_g_1	3.0086478145637806e-46	2.2436970190937838e-54	4.234960416925093e-52	0.0	8.339391251533147e-47
p_7.305688086564288_q_7.517332462471247_g_2	3.884849312473403e-43	1.1758603605715263e-49	1.492397137570183e-53	8.339391251533147e-47	0.0
