	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.9088192606505592	0.9188081618714249	0.8574233757363613	0.890719713139247
p_19.0_q_8.483911078685804_g_2	0.9088192606505592	1.0	0.9515922479296508	0.9151370272346965	0.9006232391360027
p_19.0_q_9.122152261131532_g_1	0.9188081618714249	0.9515922479296508	1.0	0.897549731068044	0.8990011098779135
p_7.305688086564288_q_7.517332462471247_g_2	0.8574233757363613	0.9151370272346965	0.897549731068044	1.0	0.8823529411764706
p_0.5_q_1.895944090041435_g_1	0.890719713139247	0.9006232391360027	0.8990011098779135	0.8823529411764706	1.0
