emb_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_5.5_q_9.010757520712524_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	2.1526531642603892e-41	1.3490225883780867e-42	9.861484856382337e-41	5.26108378162333e-35
p_19.0_q_8.483911078685804_g_2	2.1526531642603892e-41	0.0	6.1479501203709356e-52	7.155115341123857e-47	2.0278092000996489e-44
p_19.0_q_9.122152261131532_g_1	1.3490225883780867e-42	6.1479501203709356e-52	0.0	4.871543624716028e-46	7.735908263446455e-42
p_5.5_q_9.010757520712524_g_1	9.861484856382337e-41	7.155115341123857e-47	4.871543624716028e-46	0.0	1.0258589175259253e-36
p_7.305688086564288_q_7.517332462471247_g_2	5.26108378162333e-35	2.0278092000996489e-44	7.735908263446455e-42	1.0258589175259253e-36	0.0
