	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.22863501976407632	0.18103131228860764	0.20729472984518593	0.22384368729060578
p_19.0_q_8.483911078685804_g_2	0.22863501976407632	1.0	0.272949503388567	0.2229522914578442	0.2870313127302681
p_19.0_q_9.122152261131532_g_1	0.18103131228860764	0.272949503388567	1.0	0.2153023783519211	0.2580059003194578
p_7.305688086564288_q_7.517332462471247_g_2	0.20729472984518593	0.2229522914578442	0.2153023783519211	1.0	0.2177593847090507
p_0.5_q_1.895944090041435_g_1	0.22384368729060578	0.2870313127302681	0.2580059003194578	0.2177593847090507	1.0
