	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.11537140700953533	0.17989404682734195	0.1626675247930879	0.1027045403798432
p_19.0_q_8.483911078685804_g_2	0.11537140700953533	1.0	0.17438332990851022	0.05216826281804289	0.10185306261403874
p_19.0_q_9.122152261131532_g_1	0.17989404682734195	0.17438332990851022	1.0	0.08085083426899714	0.08023210987477375
p_7.305688086564288_q_7.517332462471247_g_2	0.1626675247930879	0.05216826281804289	0.08085083426899714	1.0	0.09320076991792726
p_0.5_q_1.895944090041435_g_1	0.1027045403798432	0.10185306261403874	0.08023210987477375	0.09320076991792726	1.0
