emb_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_5.5_q_9.010757520712524_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	0.0	1.7301733815250018e-263	9.16187980234118e-308	0.0
p_19.0_q_8.483911078685804_g_2	0.0	0.0	5.0273575346853065e-170	3.676896480690715e-164	7.119671027013466e-271
p_19.0_q_9.122152261131532_g_1	1.7301733815250018e-263	5.0273575346853065e-170	0.0	6.678441046043428e-132	6.896204759584191e-228
p_5.5_q_9.010757520712524_g_1	9.16187980234118e-308	3.676896480690715e-164	6.678441046043428e-132	0.0	7.363309032166579e-268
p_7.305688086564288_q_7.517332462471247_g_2	0.0	7.119671027013466e-271	6.896204759584191e-228	7.363309032166579e-268	0.0
