	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.22803005024387207	0.20883994519694968	0.24567337434049738	0.2935185716643338
p_19.0_q_8.483911078685804_g_2	0.22803005024387207	1.0	0.186931028481473	0.22834676854451022	0.24248222225342217
p_19.0_q_9.122152261131532_g_1	0.20883994519694968	0.186931028481473	1.0	0.2256607210044753	0.25868005958334667
p_7.305688086564288_q_7.517332462471247_g_2	0.24567337434049738	0.22834676854451022	0.2256607210044753	1.0	0.2919046165618325
p_0.5_q_1.895944090041435_g_1	0.2935185716643338	0.24248222225342217	0.25868005958334667	0.2919046165618325	1.0
