emb_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_5.5_q_9.010757520712524_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	1.5082349687277976e-31	8.275334070027017e-28	1.4417471143610487e-32	1.0346632594413376e-34
p_19.0_q_8.483911078685804_g_2	1.5082349687277976e-31	0.0	3.3020176222975387e-46	1.5316709255043078e-46	2.1695783866440846e-39
p_19.0_q_9.122152261131532_g_1	8.275334070027017e-28	3.3020176222975387e-46	0.0	6.255755732118223e-42	1.6657857752156388e-38
p_5.5_q_9.010757520712524_g_1	1.4417471143610487e-32	1.5316709255043078e-46	6.255755732118223e-42	0.0	8.034278813006085e-38
p_7.305688086564288_q_7.517332462471247_g_2	1.0346632594413376e-34	2.1695783866440846e-39	1.6657857752156388e-38	8.034278813006085e-38	0.0
