	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.08490629110067838	0.19058035367695744	0.18429267795668342	-0.003225542464137982
p_19.0_q_8.483911078685804_g_2	0.08490629110067838	1.0	0.15021043494333972	0.11629830145323222	-0.009971828089481997
p_19.0_q_9.122152261131532_g_1	0.19058035367695744	0.15021043494333972	1.0	0.1436750754574519	-0.026151926188315
p_7.305688086564288_q_7.517332462471247_g_2	0.18429267795668342	0.11629830145323222	0.1436750754574519	1.0	0.056355762078889024
p_0.5_q_1.895944090041435_g_1	-0.003225542464137982	-0.009971828089481997	-0.026151926188315	0.056355762078889024	1.0
