	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.9127142989528311	0.9125660272449263	0.9065424891112964	0.9048836993791122
p_19.0_q_8.483911078685804_g_2	0.9127142989528311	1.0	0.953637290334538	0.925187656380317	0.9212213881938652
p_19.0_q_9.122152261131532_g_1	0.9125660272449263	0.953637290334538	1.0	0.941126864980076	0.9173941247335743
p_7.305688086564288_q_7.517332462471247_g_2	0.9065424891112964	0.925187656380317	0.941126864980076	1.0	0.9176165322954314
p_0.5_q_1.895944090041435_g_1	0.9048836993791122	0.9212213881938652	0.9173941247335743	0.9176165322954314	1.0
