emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	3.2130424123623906e-32	4.811998610998141e-46	1.1230487443332548e-45	1.282553397424274e-44	1.116929929119455e-44
p_0.8055551041134607_q_0.1_g_1	3.2130424123623906e-32	0.0	9.210261824226587e-33	1.079185682472948e-32	8.091508706031857e-32	4.328556796179066e-30
p_1.0795506927238254_q_8.383911078685804_g_1	4.811998610998141e-46	9.210261824226587e-33	0.0	4.562062041997369e-50	1.0535127604271382e-47	1.1786676429693863e-45
p_19.0_q_8.483911078685804_g_2	1.1230487443332548e-45	1.079185682472948e-32	4.562062041997369e-50	0.0	1.278310206894333e-57	7.874342811094512e-47
p_19.0_q_9.122152261131532_g_1	1.282553397424274e-44	8.091508706031857e-32	1.0535127604271382e-47	1.278310206894333e-57	0.0	3.262313169762425e-52
p_7.305688086564288_q_7.517332462471247_g_2	1.116929929119455e-44	4.328556796179066e-30	1.1786676429693863e-45	7.874342811094512e-47	3.262313169762425e-52	0.0
