	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_7.305688086564288_q_7.517332462471247_g_2	p_19.0_q_9.122152261131532_g_1
p_0.8055551041134607_q_0.1_g_1	1.0	0.8606245945695487	0.811101844129367	0.8553794829024187	0.8620424427763878	0.8467426559169678
p_1.0795506927238254_q_8.383911078685804_g_1	0.8606245945695487	1.0	0.8677601705124641	0.9137707348716523	0.8968121582800482	0.9108794365675099
p_0.5_q_1.895944090041435_g_1	0.811101844129367	0.8677601705124641	1.0	0.8661662496524882	0.8781762579927718	0.8832082290797887
p_19.0_q_8.483911078685804_g_2	0.8553794829024187	0.9137707348716523	0.8661662496524882	1.0	0.9138726716708369	0.9420442961727366
p_7.305688086564288_q_7.517332462471247_g_2	0.8620424427763878	0.8968121582800482	0.8781762579927718	0.9138726716708369	1.0	0.9266147715689
p_19.0_q_9.122152261131532_g_1	0.8467426559169678	0.9108794365675099	0.8832082290797887	0.9420442961727366	0.9266147715689	1.0
