	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_7.305688086564288_q_7.517332462471247_g_2	p_19.0_q_9.122152261131532_g_1
p_0.8055551041134607_q_0.1_g_1	1.0	0.27380335850132587	0.22744140612595032	0.27504626424422973	0.11097883195682186	0.13830406144442073
p_1.0795506927238254_q_8.383911078685804_g_1	0.27380335850132587	1.0	0.15256289123679606	0.19355885279527357	0.11859081283657026	0.18737065533674813
p_0.5_q_1.895944090041435_g_1	0.22744140612595032	0.15256289123679606	1.0	0.11238962563514618	0.0375631861289165	0.05774279948027671
p_19.0_q_8.483911078685804_g_2	0.27504626424422973	0.19355885279527357	0.11238962563514618	1.0	-0.00191900559645561	0.12204373800342068
p_7.305688086564288_q_7.517332462471247_g_2	0.11097883195682186	0.11859081283657026	0.0375631861289165	-0.00191900559645561	1.0	0.0883564584322585
p_19.0_q_9.122152261131532_g_1	0.13830406144442073	0.18737065533674813	0.05774279948027671	0.12204373800342068	0.0883564584322585	1.0
