emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	0.0	0.0	0.0	0.0	0.0
p_0.8055551041134607_q_0.1_g_1	0.0	0.0	0.0	0.0	0.0	0.0
p_1.0795506927238254_q_8.383911078685804_g_1	0.0	0.0	0.0	0.0	6.586110560638455e-282	0.0
p_19.0_q_8.483911078685804_g_2	0.0	0.0	0.0	0.0	0.0	0.0
p_19.0_q_9.122152261131532_g_1	0.0	0.0	6.586110560638455e-282	0.0	0.0	0.0
p_7.305688086564288_q_7.517332462471247_g_2	0.0	0.0	0.0	0.0	0.0	0.0
