emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	3.511510982811103e-160	1.1150771751308226e-112	5.311103605056403e-16	4.184427320330524e-60	6.018105475582403e-32
p_0.8055551041134607_q_0.1_g_1	3.511510982811103e-160	0.0	0.0	1.4620201705979858e-100	9.439144803682566e-255	0.0
p_1.0795506927238254_q_8.383911078685804_g_1	1.1150771751308226e-112	0.0	0.0	2.2426799471092394e-53	1.6811872573079692e-172	1.797226179298501e-91
p_19.0_q_8.483911078685804_g_2	5.311103605056403e-16	1.4620201705979858e-100	2.2426799471092394e-53	0.0	6.513472045883454e-36	0.9060016267108885
p_19.0_q_9.122152261131532_g_1	4.184427320330524e-60	9.439144803682566e-255	1.6811872573079692e-172	6.513472045883454e-36	0.0	2.379388144131139e-27
p_7.305688086564288_q_7.517332462471247_g_2	6.018105475582403e-32	0.0	1.797226179298501e-91	0.9060016267108885	2.379388144131139e-27	0.0
