emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	8.063473585480943e-63	1.8746484190234671e-124	0.10854304458421223	2.5619603389997045e-05	1.122489105758838e-19
p_0.8055551041134607_q_0.1_g_1	8.063473585480943e-63	0.0	0.0	6.2317917090651475e-115	0.0	0.0
p_1.0795506927238254_q_8.383911078685804_g_1	1.8746484190234671e-124	0.0	0.0	2.36138412180212e-127	9.90447970626687e-90	1.7325257662643482e-221
p_19.0_q_8.483911078685804_g_2	0.10854304458421223	6.2317917090651475e-115	2.36138412180212e-127	0.0	1.5011325457911252e-130	1.1156524637958873e-78
p_19.0_q_9.122152261131532_g_1	2.5619603389997045e-05	0.0	9.90447970626687e-90	1.5011325457911252e-130	0.0	1.7189554319569337e-119
p_7.305688086564288_q_7.517332462471247_g_2	1.122489105758838e-19	0.0	1.7325257662643482e-221	1.1156524637958873e-78	1.7189554319569337e-119	0.0
