model_1	1	2	3	4	5
1	0.0	3.76597111353685e-19	1.103147952830868e-19	2.8178333549817556e-23	8.63219667639481e-25
2	3.76597111353685e-19	0.0	7.273470878830864e-16	1.1834848930010052e-21	4.2550380697521354e-21
3	1.103147952830868e-19	7.273470878830864e-16	0.0	4.371955819922132e-17	2.2528451025391638e-15
4	2.8178333549817556e-23	1.1834848930010052e-21	4.371955819922132e-17	0.0	1.98023747732777e-23
5	8.63219667639481e-25	4.2550380697521354e-21	2.2528451025391638e-15	1.98023747732777e-23	0.0
