	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_7.305688086564288_q_7.517332462471247_g_2	p_19.0_q_9.122152261131532_g_1
p_0.8055551041134607_q_0.1_g_1	1.0	0.31846527679676895	0.18301124371245017	0.3441439578225189	0.2011845833744061	0.2901234934025302
p_1.0795506927238254_q_8.383911078685804_g_1	0.31846527679676895	1.0	0.15514842412382013	0.16384186199715703	0.13623679315236498	0.1476050250973004
p_0.5_q_1.895944090041435_g_1	0.18301124371245017	0.15514842412382013	1.0	0.1275235113839414	0.0897955432823825	0.1171655357872015
p_19.0_q_8.483911078685804_g_2	0.3441439578225189	0.16384186199715703	0.1275235113839414	1.0	0.04131757093905346	0.2658135600555619
p_7.305688086564288_q_7.517332462471247_g_2	0.2011845833744061	0.13623679315236498	0.0897955432823825	0.04131757093905346	1.0	0.05058673474960436
p_19.0_q_9.122152261131532_g_1	0.2901234934025302	0.1476050250973004	0.1171655357872015	0.2658135600555619	0.05058673474960436	1.0
