	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_7.305688086564288_q_7.517332462471247_g_2	p_19.0_q_9.122152261131532_g_1
p_0.8055551041134607_q_0.1_g_1	1.0	0.8825236916246905	0.7997950994621361	0.8114915051652011	0.7886963203278409	0.7444719542388799
p_1.0795506927238254_q_8.383911078685804_g_1	0.8825236916246905	1.0	0.8213950311619568	0.8250661657986852	0.818577648766328	0.8176385213011185
p_0.5_q_1.895944090041435_g_1	0.7997950994621361	0.8213950311619568	1.0	0.879108682660292	0.8582771279774609	0.8461538461538461
p_19.0_q_8.483911078685804_g_2	0.8114915051652011	0.8250661657986852	0.879108682660292	1.0	0.8993426107743533	0.8943054725518654
p_7.305688086564288_q_7.517332462471247_g_2	0.7886963203278409	0.818577648766328	0.8582771279774609	0.8993426107743533	1.0	0.8644241441133783
p_19.0_q_9.122152261131532_g_1	0.7444719542388799	0.8176385213011185	0.8461538461538461	0.8943054725518654	0.8644241441133783	1.0
