	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_7.305688086564288_q_7.517332462471247_g_2	p_19.0_q_9.122152261131532_g_1
p_0.8055551041134607_q_0.1_g_1	1.0	0.8890186266333056	0.8427856547122602	0.8743767954777129	0.859466221851543	0.8587433972755074
p_1.0795506927238254_q_8.383911078685804_g_1	0.8890186266333056	1.0	0.9035770549532017	0.9236493374108053	0.9076730608840701	0.93147067000278
p_0.5_q_1.895944090041435_g_1	0.8427856547122602	0.9035770549532017	1.0	0.9044759521823742	0.872161986840886	0.9095264572328793
p_19.0_q_8.483911078685804_g_2	0.8743767954777129	0.9236493374108053	0.9044759521823742	1.0	0.9166527661940506	0.9404040404040404
p_7.305688086564288_q_7.517332462471247_g_2	0.859466221851543	0.9076730608840701	0.872161986840886	0.9166527661940506	1.0	0.9063756834399036
p_19.0_q_9.122152261131532_g_1	0.8587433972755074	0.93147067000278	0.9095264572328793	0.9404040404040404	0.9063756834399036	1.0
