emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	7.100116155746438e-194	3.0217572048865446e-139	2.41694309449629e-94	7.762050617449982e-80	1.626047215153633e-47
p_0.8055551041134607_q_0.1_g_1	7.100116155746438e-194	0.0	0.0	0.0	0.0	1.0886373201095109e-234
p_1.0795506927238254_q_8.383911078685804_g_1	3.0217572048865446e-139	0.0	0.0	2.8451598036251608e-155	4.431378314987588e-126	1.5893625838689535e-107
p_19.0_q_8.483911078685804_g_2	2.41694309449629e-94	0.0	2.8451598036251608e-155	0.0	0.0	2.8922866900995792e-11
p_19.0_q_9.122152261131532_g_1	7.762050617449982e-80	0.0	4.431378314987588e-126	0.0	0.0	3.7620082560230953e-16
p_7.305688086564288_q_7.517332462471247_g_2	1.626047215153633e-47	1.0886373201095109e-234	1.5893625838689535e-107	2.8922866900995792e-11	3.7620082560230953e-16	0.0
