	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_0.5_q_1.895944090041435_g_1	p_19.0_q_8.483911078685804_g_2	p_7.305688086564288_q_7.517332462471247_g_2	p_19.0_q_9.122152261131532_g_1
p_0.8055551041134607_q_0.1_g_1	1.0	0.3455753569548117	0.4153644036573279	0.3305352610816937	0.37299294692600454	0.2933707033688887
p_1.0795506927238254_q_8.383911078685804_g_1	0.3455753569548117	1.0	0.2962377067662253	0.20402223296115277	0.269181310396415	0.17829184635792175
p_0.5_q_1.895944090041435_g_1	0.4153644036573279	0.2962377067662253	1.0	0.24889782620541062	0.28462404922509477	0.21300748564810018
p_19.0_q_8.483911078685804_g_2	0.3305352610816937	0.20402223296115277	0.24889782620541062	1.0	0.2159261152276336	0.17143608780073896
p_7.305688086564288_q_7.517332462471247_g_2	0.37299294692600454	0.269181310396415	0.28462404922509477	0.2159261152276336	1.0	0.1982803200176229
p_19.0_q_9.122152261131532_g_1	0.2933707033688887	0.17829184635792175	0.21300748564810018	0.17143608780073896	0.1982803200176229	1.0
