emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	1.0798370290058906e-122	5.479328365874927e-167	5.662108576895387e-97	1.5696568921290818e-13	1.0695636240182453e-12
p_0.8055551041134607_q_0.1_g_1	1.0798370290058906e-122	0.0	0.0	2.0994922197046607e-243	3.468665279504655e-154	0.0
p_1.0795506927238254_q_8.383911078685804_g_1	5.479328365874927e-167	0.0	0.0	6.10379314321793e-190	3.4268182480533384e-99	1.4143332066109803e-51
p_19.0_q_8.483911078685804_g_2	5.662108576895387e-97	2.0994922197046607e-243	6.10379314321793e-190	0.0	1.043603906716704e-72	0.010583502566759618
p_19.0_q_9.122152261131532_g_1	1.5696568921290818e-13	3.468665279504655e-154	3.4268182480533384e-99	1.043603906716704e-72	0.0	2.0019514401388993e-46
p_7.305688086564288_q_7.517332462471247_g_2	1.0695636240182453e-12	0.0	1.4143332066109803e-51	0.010583502566759618	2.0019514401388993e-46	0.0
