emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	3.7036924976889606e-195	1.1103227024813428e-179	1.098278484106389e-60	2.9558748417039267e-38	4.5830694561593757e-51
p_0.8055551041134607_q_0.1_g_1	3.7036924976889606e-195	0.0	0.0	0.0	0.0	0.0
p_1.0795506927238254_q_8.383911078685804_g_1	1.1103227024813428e-179	0.0	0.0	2.0542972679801673e-189	8.19634772333009e-209	8.436737601081975e-215
p_19.0_q_8.483911078685804_g_2	1.098278484106389e-60	0.0	2.0542972679801673e-189	0.0	6.1033026859475986e-176	4.426826271292911e-17
p_19.0_q_9.122152261131532_g_1	2.9558748417039267e-38	0.0	8.19634772333009e-209	6.1033026859475986e-176	0.0	8.002752257571905e-39
p_7.305688086564288_q_7.517332462471247_g_2	4.5830694561593757e-51	0.0	8.436737601081975e-215	4.426826271292911e-17	8.002752257571905e-39	0.0
