	p_5.5_q_9.010757520712524_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2	p_0.5_q_1.895944090041435_g_1
p_5.5_q_9.010757520712524_g_1	1.0	0.8660462733714676	0.851105609152224	0.7801587979168445	0.8774865534022027
p_19.0_q_8.483911078685804_g_2	0.8660462733714676	1.0	0.8586186288739008	0.872022539059165	0.8634850166481687
p_19.0_q_9.122152261131532_g_1	0.851105609152224	0.8586186288739008	1.0	0.8909758388115768	0.8865363271578588
p_7.305688086564288_q_7.517332462471247_g_2	0.7801587979168445	0.872022539059165	0.8909758388115768	1.0	0.8290788013318535
p_0.5_q_1.895944090041435_g_1	0.8774865534022027	0.8634850166481687	0.8865363271578588	0.8290788013318535	1.0
