emb_1	p_0.5_q_1.895944090041435_g_1	p_0.8055551041134607_q_0.1_g_1	p_1.0795506927238254_q_8.383911078685804_g_1	p_19.0_q_8.483911078685804_g_2	p_19.0_q_9.122152261131532_g_1	p_7.305688086564288_q_7.517332462471247_g_2
p_0.5_q_1.895944090041435_g_1	0.0	1.1304110939868674e-26	2.851660027196869e-34	5.181082074767642e-34	5.658096871862079e-37	4.710104141836019e-36
p_0.8055551041134607_q_0.1_g_1	1.1304110939868674e-26	0.0	3.8970657100842574e-33	2.4326387051914654e-32	4.262884401577671e-31	2.3451162441685898e-33
p_1.0795506927238254_q_8.383911078685804_g_1	2.851660027196869e-34	3.8970657100842574e-33	0.0	1.156772675114557e-43	6.248248206653012e-43	1.0864137802584531e-39
p_19.0_q_8.483911078685804_g_2	5.181082074767642e-34	2.4326387051914654e-32	1.156772675114557e-43	0.0	1.4426721974420949e-52	1.0888166312810807e-43
p_19.0_q_9.122152261131532_g_1	5.658096871862079e-37	4.262884401577671e-31	6.248248206653012e-43	1.4426721974420949e-52	0.0	2.9192397546668303e-47
p_7.305688086564288_q_7.517332462471247_g_2	4.710104141836019e-36	2.3451162441685898e-33	1.0864137802584531e-39	1.0888166312810807e-43	2.9192397546668303e-47	0.0
