feature	diet_dairy	diet_meat	time_baseline	time_endpoint	n_embeddings	max_hits
K02552	3	4	7	0	7	7
K02560	1	6	7	0	7	7
K02562	2	5	7	0	7	7
K02565	1	6	7	0	7	7
K02598	2	5	7	0	7	7
K02612	2	5	7	0	7	7
K02613	2	5	7	0	7	7
K02654	0	7	6	1	7	7
K02686	0	7	7	0	7	7
K02890	0	7	2	5	7	7
K02687	7	0	1	6	7	7
K02757	0	7	5	2	7	7
K02760	0	7	3	4	7	7
K02777	0	7	4	3	7	7
K02799	1	6	7	0	7	7
K02813	1	6	7	0	7	7
K02850	4	3	7	0	7	7
K02851	0	7	3	4	7	7
K02854	1	6	7	0	7	7
K02881	2	5	0	7	7	7
K03485	2	5	7	0	7	7
K03487	2	5	7	0	7	7
K03497	3	4	0	7	7	7
K03825	2	5	7	0	7	7
K03755	2	5	7	0	7	7
K03775	5	2	7	0	7	7
K03777	0	7	7	0	7	7
K03782	2	5	7	0	7	7
K03788	3	4	7	0	7	7
K03796	2	5	7	0	7	7
K03799	0	7	6	1	7	7
K03810	2	5	7	0	7	7
K03817	3	4	7	0	7	7
K03819	2	5	7	0	7	7
K03828	3	4	7	0	7	7
K03736	0	7	5	2	7	7
K03838	2	5	7	0	7	7
K03925	0	7	4	3	7	7
K03981	0	7	4	3	7	7
K04016	1	6	7	0	7	7
K04033	0	7	4	3	7	7
K04041	4	3	0	7	7	7
K04042	0	7	6	1	7	7
K04046	2	5	7	0	7	7
K04047	1	6	7	0	7	7
K04068	2	5	0	7	7	7
K03746	1	6	7	0	7	7
K03722	3	4	0	7	7	7
K03502	0	7	4	3	7	7
K03624	2	5	0	7	7	7
K03534	7	0	3	4	7	7
K03555	4	3	0	7	7	7
K03556	4	3	7	0	7	7
K03565	0	7	2	5	7	7
K03569	4	3	0	7	7	7
K03578	0	7	7	0	7	7
K03588	2	5	7	0	7	7
K03591	2	5	7	0	7	7
K03599	2	5	7	0	7	7
K03607	3	4	7	0	7	7
K03631	3	4	7	0	7	7
K03712	2	5	7	0	7	7
K03635	0	7	6	1	7	7
K03643	0	7	7	0	7	7
K03656	2	5	7	0	7	7
K03671	5	2	0	7	7	7
K03675	1	6	7	0	7	7
K03683	3	4	7	0	7	7
K03698	3	4	0	7	7	7
K03700	4	3	0	7	7	7
K03705	0	7	4	3	7	7
K03706	3	4	0	7	7	7
ENOG411241Q	3	4	7	0	7	7
ENOG4111VYM	5	2	0	7	7	7
ENOG4111MTW	2	5	7	0	7	7
ENOG4111FJG	7	0	3	4	7	7
ENOG4111R59	5	2	0	7	7	7
ENOG4111S9B	2	5	0	7	7	7
ENOG4111SNX	4	3	0	7	7	7
ENOG4111STN	4	3	0	7	7	7
ENOG4111TNS	3	4	0	7	7	7
ENOG4111TU1	3	4	0	7	7	7
ENOG4111UBE	5	2	0	7	7	7
ENOG4111US1	5	2	0	7	7	7
ENOG4111VVM	6	1	0	7	7	7
ENOG4111W7E	4	3	0	7	7	7
ENOG4111XTI	1	6	0	7	7	7
ENOG4111ZDW	7	0	5	2	7	7
ENOG411204B	4	3	0	7	7	7
ENOG41120X1	2	5	7	0	7	7
ENOG4112221	2	5	0	7	7	7
ENOG41122AM	5	2	0	7	7	7
ENOG41122W4	0	7	3	4	7	7
ENOG411239P	0	7	3	4	7	7
ENOG41123DH	1	6	0	7	7	7
ENOG41123KQ	2	5	0	7	7	7
ENOG41124TY	3	4	0	7	7	7
ENOG41125XC	4	3	0	7	7	7
ENOG41126S5	1	6	7	0	7	7
ENOG4111R48	3	4	0	7	7	7
ENOG4111R0N	0	7	3	4	7	7
ENOG4111Q4N	5	2	0	7	7	7
ENOG4111IDM	3	4	0	7	7	7
ENOG4111FYK	4	3	0	7	7	7
ENOG4111G02	4	3	0	7	7	7
ENOG4111G27	2	5	7	0	7	7
ENOG4111GBX	4	3	0	7	7	7
ENOG4111GIF	3	4	0	7	7	7
ENOG4111GPI	0	7	5	2	7	7
ENOG4111HB2	5	2	0	7	7	7
ENOG4111HRE	3	4	0	7	7	7
ENOG4111HVH	4	3	0	7	7	7
ENOG4111I0X	6	1	0	7	7	7
ENOG4111J72	5	2	0	7	7	7
ENOG4111P4Z	5	2	0	7	7	7
ENOG4111J8D	4	3	0	7	7	7
ENOG4111J9Z	5	2	0	7	7	7
ENOG4111JC0	7	0	3	4	7	7
ENOG4111JN4	4	3	0	7	7	7
ENOG4111KFQ	4	3	0	7	7	7
ENOG4111KRI	7	0	4	3	7	7
ENOG4111KUD	3	4	0	7	7	7
ENOG4111M5N	4	3	0	7	7	7
ENOG4111NI7	3	4	0	7	7	7
ENOG4111NVG	3	4	0	7	7	7
ENOG41128VI	7	0	4	3	7	7
ENOG41129SD	5	2	0	7	7	7
ENOG4112AQE	7	0	3	4	7	7
ENOG410XY68	3	4	0	7	7	7
ENOG410XU7P	3	4	0	7	7	7
