feature	diet_dairy	diet_meat	time_baseline	time_endpoint	n_embeddings	max_hits
ENOG410YGYK	4	3	0	7	7	7
ENOG410YHCG	5	2	0	7	7	7
ENOG410YHEK	4	3	0	7	7	7
ENOG410YI7C	4	3	0	7	7	7
ENOG410YI7H	3	4	0	7	7	7
ENOG410YIFJ	0	7	0	7	7	7
ENOG410YK6C	4	3	0	7	7	7
ENOG410YM4C	4	3	0	7	7	7
ENOG410YM68	5	2	0	7	7	7
ENOG410YMQ7	4	3	0	7	7	7
ENOG410YNGB	5	2	0	7	7	7
ENOG410YP2K	6	1	0	7	7	7
ENOG410YQEP	5	2	0	7	7	7
ENOG410YRHR	4	3	0	7	7	7
ENOG410YRV1	5	2	0	7	7	7
ENOG410YSH0	5	2	0	7	7	7
ENOG410YT9M	5	2	0	7	7	7
ENOG410YUF4	3	4	0	7	7	7
ENOG410YUMD	4	3	0	7	7	7
ENOG410YV6W	3	4	0	7	7	7
ENOG410YVDY	4	3	0	7	7	7
ENOG410YEV5	3	4	0	7	7	7
ENOG410YEB8	5	2	0	7	7	7
ENOG410YDVK	5	2	0	7	7	7
ENOG410Y9CY	2	5	0	7	7	7
ENOG410Y61A	3	4	0	7	7	7
ENOG410Y61B	4	3	0	7	7	7
ENOG410Y6JS	5	2	0	7	7	7
ENOG410Y6N4	4	3	0	7	7	7
ENOG410Y6PP	3	4	0	7	7	7
ENOG410Y6T0	3	4	0	7	7	7
ENOG410Y80I	4	3	0	7	7	7
ENOG410Y8MT	5	2	0	7	7	7
ENOG410Y8YV	5	2	0	7	7	7
ENOG410Y9BH	3	4	0	7	7	7
ENOG410Y9J2	5	2	0	7	7	7
ENOG410YDRB	4	3	0	7	7	7
ENOG410YAR1	4	3	0	7	7	7
ENOG410YAVK	2	5	0	7	7	7
ENOG410YAVZ	4	3	0	7	7	7
ENOG410YAYF	4	3	0	7	7	7
ENOG410YBD7	7	0	2	5	7	7
ENOG410YBTJ	5	2	0	7	7	7
ENOG410YBY0	4	3	0	7	7	7
ENOG410YC5Y	4	3	0	7	7	7
ENOG410YCFW	3	4	0	7	7	7
ENOG410YCWB	5	2	0	7	7	7
ENOG410YWW6	4	3	7	0	7	7
ENOG410YX99	5	2	0	7	7	7
ENOG410YXTA	3	4	0	7	7	7
ENOG410ZZXB	2	5	0	7	7	7
ENOG410ZSAC	5	2	0	7	7	7
ENOG410ZTS5	7	0	1	6	7	7
ENOG410ZW9J	4	3	0	7	7	7
ENOG410ZWIY	4	3	0	7	7	7
ENOG410ZX2Q	3	4	0	7	7	7
ENOG410ZXAN	4	3	0	7	7	7
ENOG410ZXHK	4	3	0	7	7	7
ENOG410ZXW8	5	2	0	7	7	7
ENOG410ZY7A	3	4	0	7	7	7
ENOG410ZYVS	5	2	0	7	7	7
ENOG410ZZYY	4	3	0	7	7	7
ENOG410ZR6H	5	2	7	0	7	7
ENOG411001J	4	3	0	7	7	7
ENOG41100C5	5	2	0	7	7	7
ENOG41100UY	4	3	0	7	7	7
ENOG41100V7	5	2	0	7	7	7
ENOG411011U	5	2	0	7	7	7
ENOG41102NG	4	3	0	7	7	7
ENOG41103XH	6	1	0	7	7	7
ENOG4110WT0	5	2	0	7	7	7
ENOG4111228	4	3	0	7	7	7
ENOG41114H6	1	6	7	0	7	7
ENOG410ZRD3	3	4	0	7	7	7
ENOG410ZR3Q	5	2	0	7	7	7
ENOG410Z02K	5	2	0	7	7	7
ENOG410ZDI4	4	3	0	7	7	7
ENOG410Z27T	4	3	7	0	7	7
ENOG410Z2G6	4	3	0	7	7	7
ENOG410Z51W	5	2	0	7	7	7
ENOG410Z5P3	3	4	0	7	7	7
ENOG410Z6F6	4	3	0	7	7	7
ENOG410Z79W	4	3	0	7	7	7
ENOG410Z937	4	3	7	0	7	7
ENOG410Z9WF	5	2	0	7	7	7
ENOG410ZA63	5	2	0	7	7	7
ENOG410ZC5F	5	2	0	7	7	7
ENOG410ZEMC	6	1	7	0	7	7
ENOG410ZQTG	4	3	0	7	7	7
ENOG410ZJPZ	3	4	0	7	7	7
ENOG410ZJR9	4	3	0	7	7	7
ENOG410ZJWK	5	2	0	7	7	7
ENOG410ZK0W	4	3	0	7	7	7
ENOG410ZKES	6	1	7	0	7	7
ENOG410ZKJY	4	3	0	7	7	7
ENOG410ZM3M	5	2	0	7	7	7
ENOG410ZN8Y	2	5	0	7	7	7
ENOG410ZNXT	3	4	0	7	7	7
ENOG410ZQEY	1	6	0	7	7	7
K07658	4	3	0	7	7	7
K07664	1	6	7	0	7	7
K07677	4	3	7	0	7	7
PF06175	2	5	7	0	7	7
PF07696	2	5	7	0	7	7
PF07729	2	5	0	7	7	7
PF07730	0	7	6	1	7	7
PF07732	4	3	7	0	7	7
PF07884	0	7	5	2	7	7
PF07916	0	7	6	1	7	7
PF07992	0	7	4	3	7	7
PF08011	7	0	2	5	7	7
PF08239	3	4	0	7	7	7
PF08267	0	7	5	2	7	7
PF08299	0	7	2	5	7	7
PF08543	0	7	5	2	7	7
PF08681	0	7	3	4	7	7
PF08903	2	5	0	7	7	7
PF08942	6	1	0	7	7	7
PF09186	0	7	3	4	7	7
PF09190	4	3	0	7	7	7
PF09244	0	7	3	4	7	7
PF09261	0	7	4	3	7	7
PF09479	4	3	0	7	7	7
PF09481	0	7	4	3	7	7
PF09601	0	7	7	0	7	7
PF09709	0	7	1	6	7	7
PF07568	0	7	4	3	7	7
PF07521	3	4	0	7	7	7
PF07501	0	7	5	2	7	7
PF06723	5	2	0	7	7	7
PF06180	3	4	0	7	7	7
PF06258	5	2	7	0	7	7
PF06290	2	5	7	0	7	7
PF06368	2	5	7	0	7	7
PF06415	4	3	0	7	7	7
PF06545	2	5	7	0	7	7
PF06551	3	4	7	0	7	7
PF06616	2	5	0	7	7	7
PF06629	1	6	7	0	7	7
PF06674	1	6	7	0	7	7
PF06899	3	4	7	0	7	7
PF07494	7	0	4	3	7	7
PF07085	4	3	7	0	7	7
PF07095	2	5	7	0	7	7
PF07136	2	5	0	7	7	7
PF07148	2	5	7	0	7	7
PF07282	2	5	0	7	7	7
PF07338	2	5	7	0	7	7
PF07356	2	5	7	0	7	7
PF07456	4	3	0	7	7	7
PF07475	4	3	0	7	7	7
PF07479	0	7	5	2	7	7
PF09754	0	7	5	2	7	7
PF09820	5	2	0	7	7	7
PF09821	0	7	5	2	7	7
PF12437	7	0	2	5	7	7
PF11838	0	7	6	1	7	7
PF11924	0	7	6	1	7	7
PF11958	5	2	7	0	7	7
PF11974	4	3	7	0	7	7
PF12010	3	4	0	7	7	7
PF12029	0	7	4	3	7	7
PF12051	3	4	0	7	7	7
PF12215	4	3	0	7	7	7
PF12282	0	7	5	2	7	7
PF12323	4	3	0	7	7	7
PF12687	4	3	0	7	7	7
PF11799	0	7	5	2	7	7
PF12700	4	3	0	7	7	7
PF12704	6	1	0	7	7	7
PF12705	0	7	3	4	7	7
PF12769	0	7	7	0	7	7
PF12795	0	7	6	1	7	7
PF12801	5	2	0	7	7	7
PF12804	3	4	0	7	7	7
PF12945	4	3	0	7	7	7
PF13085	0	7	4	3	7	7
PF13088	0	7	6	1	7	7
PF11806	1	6	7	0	7	7
PF11453	3	4	7	0	7	7
PF09826	3	4	0	7	7	7
PF10938	4	3	7	0	7	7
PF09949	0	7	4	3	7	7
PF09950	2	5	0	7	7	7
PF09994	4	3	7	0	7	7
PF10112	4	3	0	7	7	7
PF10150	0	7	4	3	7	7
PF10437	1	6	7	0	7	7
PF10543	7	0	1	6	7	7
PF10593	3	4	0	7	7	7
PF10611	0	7	5	2	7	7
PF10754	2	5	7	0	7	7
PF10951	6	1	7	0	7	7
PF11452	0	7	5	2	7	7
PF10996	4	3	0	7	7	7
PF11187	0	7	3	4	7	7
PF11193	4	3	0	7	7	7
PF11238	0	7	6	1	7	7
PF11253	0	7	7	0	7	7
PF11268	0	7	5	2	7	7
PF11361	0	7	5	2	7	7
PF11377	0	7	3	4	7	7
PF11392	1	6	7	0	7	7
PF11398	3	4	7	0	7	7
PF06178	0	7	6	1	7	7
PF06103	0	7	4	3	7	7
PF13182	0	7	2	5	7	7
PF06013	0	7	3	4	7	7
PF03006	0	7	6	1	7	7
PF03023	0	7	4	3	7	7
PF03060	4	3	0	7	7	7
PF03065	7	0	2	5	7	7
PF03120	0	7	4	3	7	7
PF03136	0	7	5	2	7	7
PF03144	0	7	5	2	7	7
PF03306	1	6	7	0	7	7
PF03461	0	7	6	1	7	7
PF03462	0	7	1	6	7	7
PF03480	4	3	0	7	7	7
PF03484	0	7	5	2	7	7
PF03486	3	4	0	7	7	7
PF03573	2	5	7	0	7	7
PF03598	2	5	0	7	7	7
PF03609	5	2	7	0	7	7
PF03695	2	5	7	0	7	7
PF03699	0	7	6	1	7	7
PF03710	0	7	6	1	7	7
PF03714	4	3	0	7	7	7
PF03733	0	7	6	1	7	7
PF03741	0	7	7	0	7	7
PF03746	2	5	0	7	7	7
PF02978	0	7	5	2	7	7
PF02952	7	0	1	6	7	7
PF02922	0	7	3	4	7	7
PF02699	0	7	4	3	7	7
PF02586	0	7	3	4	7	7
PF02595	0	7	5	2	7	7
PF02601	0	7	2	5	7	7
PF02609	0	7	5	2	7	7
PF02625	2	5	0	7	7	7
PF02632	1	6	0	7	7	7
PF02639	3	4	0	7	7	7
PF02657	4	3	7	0	7	7
PF02661	0	7	5	2	7	7
PF02685	2	5	7	0	7	7
PF02730	5	2	0	7	7	7
PF02899	0	7	6	1	7	7
PF02739	0	7	4	3	7	7
PF02744	1	6	0	7	7	7
PF02754	2	5	7	0	7	7
PF02767	0	7	5	2	7	7
PF02771	3	4	0	7	7	7
PF02800	0	7	6	1	7	7
PF02826	1	6	7	0	7	7
PF02863	0	7	4	3	7	7
PF02896	0	7	3	4	7	7
PF02897	0	7	6	1	7	7
PF03811	0	7	6	1	7	7
PF03819	2	5	7	0	7	7
PF03887	0	7	4	3	7	7
PF05195	2	5	7	0	7	7
PF04963	4	3	7	0	7	7
PF04977	0	7	5	2	7	7
PF04996	1	6	7	0	7	7
PF04997	0	7	6	1	7	7
PF05015	0	7	6	1	7	7
PF05016	3	4	0	7	7	7
PF05025	0	7	5	2	7	7
PF05031	3	4	0	7	7	7
PF05167	2	5	0	7	7	7
PF05175	0	7	4	3	7	7
PF05222	0	7	6	1	7	7
PF04898	0	7	4	3	7	7
PF05229	4	3	7	0	7	7
PF05231	3	4	7	0	7	7
PF05420	1	6	7	0	7	7
PF05580	3	4	0	7	7	7
PF05594	3	4	7	0	7	7
PF05698	3	4	0	7	7	7
PF05728	0	7	5	2	7	7
PF05762	5	2	0	7	7	7
PF05960	1	6	0	7	7	7
PF05974	2	5	7	0	7	7
PF04952	3	4	0	7	7	7
PF04829	0	7	7	0	7	7
PF03950	4	3	0	7	7	7
PF04216	3	4	7	0	7	7
PF03952	2	5	0	7	7	7
PF03958	1	6	7	0	7	7
PF03961	4	3	0	7	7	7
PF03965	4	3	0	7	7	7
PF03993	1	6	7	0	7	7
PF03994	0	7	6	1	7	7
PF04079	0	7	0	7	7	7
PF04101	0	7	5	2	7	7
PF04107	0	7	4	3	7	7
PF04205	5	2	0	7	7	7
PF04221	0	7	4	3	7	7
PF04632	4	3	7	0	7	7
PF04261	3	4	7	0	7	7
PF04277	3	4	0	7	7	7
PF04365	0	7	4	3	7	7
PF04417	0	7	6	1	7	7
PF04468	5	2	0	7	7	7
PF04472	0	7	4	3	7	7
PF04509	5	2	0	7	7	7
PF04542	4	3	0	7	7	7
PF04560	1	6	0	7	7	7
PF04565	0	7	4	3	7	7
PF13173	0	7	4	3	7	7
PF13196	0	7	4	3	7	7
PF02566	2	5	7	0	7	7
PF03690	6	1	0	7	7	7
PF04513	4	3	0	7	7	7
PF05732	4	3	0	7	7	7
PF07655	0	7	5	2	7	7
PF13468	0	7	3	4	7	7
PF14336	5	2	0	7	7	7
PF03515	3	4	7	0	7	7
PF18823	7	0	4	3	7	7
PF11533	1	6	7	0	7	7
PF01065	0	7	5	2	7	7
PF01691	2	5	7	0	7	7
PF02236	1	6	7	0	7	7
PF03228	2	5	7	0	7	7
PF03910	2	5	7	0	7	7
PF05385	2	5	7	0	7	7
PF09564	5	2	0	7	7	7
k_Bacteria.p_Actinobacteria.c_Actinomycetia.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium.dentium	0	7	5	2	7	7
k_Bacteria.p_Actinobacteria.c_Actinomycetia.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Unclassified.Bifidobacteriaceae.s_Unclassified.Bifidobacteriaceae	0	7	5	2	7	7
k_Bacteria.p_Actinobacteria.c_Actinomycetia.o_Unclassified.Actinomycetia.f_Unclassified.Actinomycetia.g_Unclassified.Actinomycetia.s_Unclassified.Actinomycetia	0	7	3	4	7	7
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella.s_Collinsella.tanakaei	0	7	5	2	7	7
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides.caccae	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Enterococcaceae.g_Enterococcus.s_Enterococcus.casseliflavus	0	7	7	0	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridia.bacterium..no.order.in.NCBI..f_Clostridia.bacterium..no.family.in.NCBI..g_Clostridia.bacterium..no.genus.in.NCBI..s_Clostridia.bacterium	5	2	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Butyricicoccus.s_Unclassified.Butyricicoccus	2	5	0	7	7	7
PF18864	4	3	0	7	7	7
PF18838	5	2	0	7	7	7
PF17200	4	3	0	7	7	7
PF16430	2	5	0	7	7	7
PF04556	2	5	0	7	7	7
PF05125	3	4	7	0	7	7
PF05686	5	2	0	7	7	7
PF05693	6	1	0	7	7	7
PF05840	2	5	7	0	7	7
PF13194	7	0	2	5	7	7
PF13479	4	3	0	7	7	7
PF13643	2	5	0	7	7	7
PF14125	6	1	0	7	7	7
PF16160	5	2	0	7	7	7
PF16480	4	3	0	7	7	7
PF16888	2	5	0	7	7	7
PF17161	5	2	0	7	7	7
PF18906	2	5	7	0	7	7
PF19727	5	2	0	7	7	7
PF19755	6	1	0	7	7	7
PF03457	4	3	0	7	7	7
PF06452	5	2	0	7	7	7
PF06537	7	0	4	3	7	7
PF11283	3	4	7	0	7	7
PF12995	3	4	0	7	7	7
PF14294	6	1	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.carnis	3	4	7	0	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Hungatella.s_Hungatella.effluvii	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Eubacteriaceae.g_Eubacterium.s_Eubacterium.callanderi	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Neglecta..no.family.in.NCBI..g_Neglecta.s_Neglecta.timonensis	5	2	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Gemmiger..no.family.in.NCBI..g_Gemmiger.s_Gemmiger.formicilis	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Neobittarella.s_Neobittarella.massiliensis	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Phocea.s_Unclassified.Phocea	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Subdoligranulum.s_Subdoligranulum.sp.	2	5	0	7	7	7
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Erysipelatoclostridium.s_Erysipelatoclostridium.sp.	5	2	0	7	7	7
k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodospirillales.f_Azospirillaceae.g_Azospirillum.s_Unclassified.Azospirillum	5	2	0	7	7	7
k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae.g_Parasutterella.s_Unclassified.Parasutterella	5	2	0	7	7	7
k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Unclassified.Burkholderiales.g_Unclassified.Burkholderiales.s_Unclassified.Burkholderiales	3	4	0	7	7	7
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Eggerthellales.f_Eggerthellaceae.g_Slackia.s_Slackia.piriformis	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.saudiense	2	5	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Acutalibacter.s_Unclassified.Acutalibacter	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Lacticaseibacillus.s_Lacticaseibacillus.rhamnosus	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Massilimaliae.s_Unclassified.Massilimaliae	5	2	0	7	7	7
k_Bacteria.p_Chlamydiae.c_Chlamydiia.o_Chlamydiales.f_Chlamydiaceae.g_Chlamydia.s_Chlamydia.trachomatis	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Butyricicoccus.s_Butyricicoccus.faecihominis	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Anaerotruncus.s_Anaerotruncus.sp.	5	2	0	7	7	7
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Holdemania.s_Holdemania.sp.	5	2	0	7	7	7
k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Selenomonadaceae.g_Megamonas.s_Megamonas.funiformis	5	2	0	7	7	7
k_Bacteria.p_Candidatus.Melainabacteria.c_Candidatus.Gastranaerophilales..no.class.in.NCBI..o_Candidatus.Gastranaerophilales.f_Candidatus.Gastranaerophilales.bacterium..no.family.in.NCBI..g_Candidatus.Gastranaerophilales.bacterium..no.genus.in.NCBI..s_Candidatus.Gastranaerophilales.bacterium	2	5	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Monoglobus.s_Unclassified.Monoglobus	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Hydrogeniiclostidium.s_Hydrogeniiclostidium.mannosilyticum	5	2	0	7	7	7
k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Sutterellaceae.g_Sutterella.s_Sutterella.sp.	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Butyricicoccus.s_Butyricicoccus.sp.	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Ruminococcus.s_Ruminococcus.bromii	1	6	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Eubacteriaceae.g_Eubacterium.s_Eubacterium.ramulus	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Massilimicrobiota.s_Massilimicrobiota.timonensis	4	3	7	0	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Anaerobutyricum.s_Anaerobutyricum.hallii	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Blautia.s_Blautia.luti	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Dorea.s_Dorea.sp.	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Roseburia.intestinalis	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Agathobaculum.s_Agathobaculum.desmolans	5	2	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Anaeromassilibacillus.s_Unclassified.Anaeromassilibacillus	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Faecalibacterium.s_Unclassified.Faecalibacterium	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Hydrogeniiclostidium.s_Unclassified.Hydrogeniiclostidium	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Peptostreptococcaceae.g_Romboutsia.s_Unclassified.Romboutsia	4	3	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Peptostreptococcaceae.g_Unclassified.Peptostreptococcaceae.s_Unclassified.Peptostreptococcaceae	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Massilimicrobiota.s_Unclassified.Massilimicrobiota	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_.Eubacterium..rectale..no.genus.in.NCBI..s_.Eubacterium..rectale	4	3	0	7	7	7
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Enterobacter.s_Enterobacter.cloacae	1	6	7	0	7	7
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Klebsiella.s_Klebsiella.grimontii	1	6	7	0	7	7
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Klebsiella.s_Klebsiella.pneumoniae	2	5	7	0	7	7
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Salmonella.enterica..no.genus.in.NCBI..s_Salmonella.enterica	0	7	3	4	7	7
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Eggerthellales.f_Eggerthellaceae.g_Gordonibacter.s_Gordonibacter.urolithinfaciens	4	3	0	7	7	7
k_Bacteria.p_Actinobacteria.c_Coriobacteriia.o_Eggerthellales.f_Eggerthellaceae.g_Gordonibacter.s_Unclassified.Gordonibacter	3	4	0	7	7	7
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides.uniformis	6	1	0	7	7	7
k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Leuconostoc.s_Unclassified.Leuconostoc	3	4	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Mediterraneibacter.s_Mediterraneibacter.faecis	2	5	0	7	7	7
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Roseburia.sp.	3	4	0	7	7	7
PF03885	3	4	0	7	7	7
PF02342	5	2	0	7	7	7
PF13207	0	7	6	1	7	7
PF00240	4	3	0	7	7	7
PF13700	0	7	6	1	7	7
PF13742	5	2	0	7	7	7
PF13782	4	3	0	7	7	7
PF13786	3	4	0	7	7	7
PF13791	3	4	0	7	7	7
PF13808	4	3	0	7	7	7
PF13847	3	4	0	7	7	7
PF13954	3	4	7	0	7	7
PF14029	0	7	6	1	7	7
PF14187	3	4	7	0	7	7
PF14191	4	3	0	7	7	7
PF14195	5	2	0	7	7	7
PF14198	3	4	0	7	7	7
PF14270	5	2	0	7	7	7
PF14277	4	3	0	7	7	7
PF14437	3	4	0	7	7	7
PF14490	3	4	0	7	7	7
PF14527	1	6	0	7	7	7
PF14561	0	7	4	3	7	7
PF14572	5	2	7	0	7	7
PF14602	0	7	5	2	7	7
PF14622	0	7	5	2	7	7
PF14789	0	7	4	3	7	7
PF13635	0	7	2	5	7	7
PF13623	3	4	7	0	7	7
PF13556	4	3	0	7	7	7
PF13378	0	7	6	1	7	7
PF13224	0	7	3	4	7	7
PF13228	0	7	3	4	7	7
PF13262	0	7	4	3	7	7
PF13308	4	3	0	7	7	7
PF13313	3	4	7	0	7	7
PF13344	0	7	2	5	7	7
PF13346	0	7	2	5	7	7
PF13354	1	6	0	7	7	7
PF13356	0	7	5	2	7	7
PF13377	0	7	5	2	7	7
PF13397	0	7	4	3	7	7
PF13550	0	7	6	1	7	7
PF13399	1	6	7	0	7	7
PF13414	7	0	6	1	7	7
PF13420	4	3	0	7	7	7
PF13433	0	7	2	5	7	7
PF13473	1	6	7	0	7	7
PF13487	3	4	0	7	7	7
PF13503	2	5	7	0	7	7
PF13522	0	7	1	6	7	7
PF13540	5	2	0	7	7	7
PF13549	0	7	6	1	7	7
PF14801	0	7	5	2	7	7
PF15714	4	3	0	7	7	7
PF15976	2	5	7	0	7	7
PF18982	4	3	0	7	7	7
PF18451	0	7	5	2	7	7
PF18537	4	3	0	7	7	7
PF18541	4	3	0	7	7	7
PF18560	2	5	0	7	7	7
PF18789	5	2	0	7	7	7
PF18840	2	5	0	7	7	7
PF18939	7	0	5	2	7	7
PF18959	0	7	7	0	7	7
PF18960	2	5	0	7	7	7
PF18978	5	2	0	7	7	7
PF18986	0	7	4	3	7	7
PF18202	2	5	0	7	7	7
PF18989	4	3	0	7	7	7
PF19289	4	3	7	0	7	7
PF19300	0	7	3	4	7	7
PF19310	2	5	7	0	7	7
PF19516	0	7	4	3	7	7
PF19576	5	2	7	0	7	7
PF19845	0	7	2	5	7	7
PF19924	2	5	7	0	7	7
PF20030	3	4	7	0	7	7
PF20070	0	7	4	3	7	7
PF18395	4	3	0	7	7	7
PF18144	4	3	0	7	7	7
PF16073	0	7	5	2	7	7
PF16933	0	7	4	3	7	7
PF16163	3	4	0	7	7	7
PF16197	2	5	7	0	7	7
PF16269	7	0	4	3	7	7
PF16359	3	4	7	0	7	7
PF16364	0	7	1	6	7	7
PF16403	0	7	3	4	7	7
PF16576	5	2	7	0	7	7
PF16653	3	4	0	7	7	7
PF16820	7	0	2	5	7	7
PF16822	4	3	0	7	7	7
PF16957	2	5	7	0	7	7
PF18094	0	7	3	4	7	7
PF16967	3	4	7	0	7	7
PF17137	7	0	2	5	7	7
PF17151	3	4	7	0	7	7
PF17154	1	6	7	0	7	7
PF17191	5	2	0	7	7	7
PF17287	1	6	7	0	7	7
PF17820	6	1	0	7	7	7
PF17844	0	7	6	1	7	7
PF17954	5	2	7	0	7	7
PF17989	2	5	0	7	7	7
PF02583	0	7	1	6	7	7
PF02551	0	7	5	2	7	7
K07684	2	5	7	0	7	7
K12543	3	4	7	0	7	7
K13888	0	7	6	1	7	7
K13918	4	3	7	0	7	7
K13928	1	6	7	0	7	7
K13930	1	6	7	0	7	7
K13933	3	4	7	0	7	7
K13940	0	7	4	3	7	7
K13954	2	5	0	7	7	7
K14061	3	4	7	0	7	7
K14287	0	7	6	1	7	7
K14348	3	4	7	0	7	7
K14588	3	4	7	0	7	7
