	hit_fraction_z	mean_z	median_z	max_z	mean_prob	median_prob	mean_confidence	median_confidence	hit_fraction_prob	direction
COG0001	0.0	0.8122277316041571	0.8717554510855138	1.2173352662941472	0.7407873570307615	0.6946024822719383	0.7407873570307615	0.6946024822719383	1.0	endpoint
COG0002	0.0	0.3085473995536217	0.5832710031486997	1.3909911239372994	0.5812822810855083	0.5915767420182221	0.5812822810855083	0.5915767420182221	0.7142857142857143	endpoint
COG0003	0.0	0.5438750327443336	0.7063278295207276	1.351147941035887	0.3399581659335099	0.313701845611089	0.6600418340664901	0.6862981543889111	0.8571428571428571	baseline
COG0004	0.0	0.7333468692844857	0.9970944798349345	1.8409057665045867	0.6801080803150403	0.7762057973109743	0.6801080803150403	0.7762057973109743	0.8571428571428571	endpoint
COG0005	0.0	0.11276595632681644	0.30059592216156655	1.542362909742425	0.5145682183266348	0.5741026282317021	0.5145682183266348	0.5741026282317021	0.5714285714285714	endpoint
COG0006	0.0	0.24850647313875765	0.6215945600228368	1.2955377820371938	0.4117874412017835	0.2864794734336305	0.5882125587982165	0.7135205265663696	0.7142857142857143	baseline
COG0007	0.0	0.41432482935720216	0.5319007350662568	1.6914218175241205	0.41583772492994797	0.38884692197803905	0.584162275070052	0.611153078021961	0.7142857142857143	baseline
COG0008	0.0	0.6209900712478699	0.48046599348721136	1.4873704065079956	0.7002974194157093	0.6400699357326081	0.7002974194157093	0.6400699357326081	0.8571428571428571	endpoint
COG0009	0.0	0.5446153993550484	0.5004953178694177	1.0623176576580762	0.33504196841722084	0.35867272964310326	0.6649580315827792	0.6413272703568967	1.0	baseline
COG0010	0.0	0.12836724342714328	0.34364762766639595	1.6661904262709628	0.4208849431043457	0.41357637826760946	0.5791150568956542	0.5864236217323906	0.7142857142857143	baseline
COG0011	0.0	0.45606871637190066	0.3059259141758993	1.2907419821091224	0.35593349274417685	0.42438928919508184	0.6440665072558232	0.5756107108049182	0.8571428571428571	baseline
COG0012	0.0	0.862169393741036	0.9659704391574817	1.4784916352443738	0.7668626119631506	0.8325037059968777	0.7668626119631506	0.8325037059968777	0.8571428571428571	endpoint
COG0013	0.0	0.037880857447272265	0.417062327600267	1.2879384103132674	0.5171368339689792	0.40138975465049	0.5171368339689792	0.59861024534951	0.5714285714285714	baseline
COG0014	0.0	0.3250341442821467	0.23023279154275814	1.3827037718594577	0.3753646292596501	0.41389341946130515	0.6246353707403499	0.5861065805386949	0.7142857142857143	baseline
COG0015	0.0	0.09892923434001787	0.20180793385378562	0.907345562302709	0.5521116682230857	0.46601598770969793	0.5521116682230857	0.5339840122903021	0.5714285714285714	endpoint
COG0016	0.0	0.3042273907796158	0.7322148486062997	1.4051838012097906	0.5794092785203523	0.6995331219575555	0.5794092785203523	0.6995331219575555	0.7142857142857143	endpoint
COG0017	0.0	0.5405781948885163	0.5145355921308209	1.706496605278083	0.6799081432956863	0.6764807946083707	0.6799081432956863	0.6764807946083707	0.7142857142857143	endpoint
COG0018	0.0	0.10971686791660033	0.3193783647217389	1.4641384791884091	0.5519439389678046	0.5805496623951688	0.5519439389678046	0.5805496623951688	0.7142857142857143	endpoint
COG0019	0.0	0.7586615847138518	1.0924252942059576	1.338795429523741	0.7266274584981776	0.8087486303887295	0.7266274584981776	0.8087486303887295	0.7142857142857143	endpoint
COG0020	0.0	0.11047913301164544	0.12860025938594344	1.5989930391390377	0.44469914892793133	0.5241251058673921	0.5553008510720687	0.5241251058673921	0.5714285714285714	baseline
COG0021	0.0	0.9729293034002511	1.222279133650252	1.8375033087431691	0.20490906623865415	0.12285662431245195	0.7950909337613459	0.8771433756875481	0.8571428571428571	baseline
COG0022	0.0	0.6505685604621487	1.2628438984580614	1.429790550289006	0.2852994176319306	0.21796709420020816	0.7147005823680694	0.7820329057997919	0.8571428571428571	baseline
COG0024	0.0	0.8129312248690042	1.1001800176739143	1.726687496880813	0.7536450049799869	0.8730439277254675	0.7536450049799869	0.8730439277254675	0.8571428571428571	endpoint
COG0025	0.0	0.5726730658638264	1.0387417130186727	1.7433119520317804	0.37731716112282443	0.1336606560269908	0.6226828388771756	0.8663393439730092	0.7142857142857143	baseline
COG0026	0.0	0.2044289188557447	0.3957905845963722	1.478490541025921	0.43557195544676136	0.42066674085859596	0.5644280445532386	0.579333259141404	0.5714285714285714	baseline
COG0027	0.0	0.29676092642031676	0.6993911592681133	1.278197804864709	0.43161995696591926	0.34224566174289056	0.5683800430340807	0.6577543382571094	0.7142857142857143	baseline
COG0028	0.0	0.39303033468805115	0.6129110910824825	1.5007391721169265	0.40959005182686903	0.3386946331993853	0.590409948173131	0.6613053668006147	0.7142857142857143	baseline
COG0029	0.0	1.0306968822396823	1.0191952669790265	1.9880141093121038	0.21657075775317255	0.1822217322724011	0.7834292422468274	0.8177782677275989	1.0	baseline
COG0030	0.0	0.13320032279992028	0.30291052860009704	1.1692310312446021	0.4659210841851588	0.4203386165389839	0.5340789158148411	0.579661383461016	0.5714285714285714	baseline
COG0031	0.0	0.6522560166330251	0.7021570817066991	1.542851283152471	0.7124545525700192	0.7816730568185264	0.7124545525700192	0.7816730568185264	0.8571428571428571	endpoint
COG0033	0.0	0.23822551130052141	0.8706063618403953	1.6880488251432453	0.4615588855976241	0.2834326360999592	0.538441114402376	0.7165673639000407	0.5714285714285714	baseline
COG0034	0.0	0.2935490093762406	0.6153529263441581	1.2780423506451708	0.410753491528874	0.36933747611760015	0.589246508471126	0.6306625238823999	0.5714285714285714	baseline
COG0035	0.0	0.3402408420749143	0.893232831526181	1.3326985549304862	0.6107615730750396	0.7440920656286227	0.6107615730750396	0.7440920656286227	0.5714285714285714	endpoint
COG0036	0.0	0.17723362252718358	0.04021418432481836	1.427810382264296	0.42759615934795914	0.5252867526007938	0.5724038406520409	0.5252867526007938	0.5714285714285714	baseline
COG0037	0.0	0.7523003755886084	1.0735207315163888	1.5270085192975968	0.7102673767335984	0.7048419588114121	0.7102673767335984	0.7048419588114121	0.8571428571428571	endpoint
COG0038	0.0	0.03212442410691853	0.08534290531951838	1.2611212031811083	0.4557429636631109	0.48411200460313186	0.544257036336889	0.5158879953968681	0.5714285714285714	baseline
COG0039	0.0	0.06369444695575492	0.05817532051634829	1.2869071654169226	0.4989710693412962	0.46096393911689504	0.5010289306587038	0.539036060883105	0.7142857142857143	baseline
COG0040	0.0	0.06906597922827655	0.11166059261266777	1.2749512997138788	0.530512078571173	0.48573950347301664	0.530512078571173	0.5142604965269834	0.7142857142857143	baseline
COG0041	0.0	0.7854199663068627	1.0749162537206658	1.35450251751858	0.759948676218453	0.8305255839391235	0.759948676218453	0.8305255839391235	0.8571428571428571	endpoint
COG0042	0.0	0.14052880816897878	0.05782799855736398	1.7693375011295855	0.5198423322811253	0.5419031822515576	0.5198423322811253	0.5419031822515576	0.5714285714285714	baseline
COG0043	0.0	0.6971789822019456	0.7064518237647036	1.3086755361757245	0.2783405996243987	0.34804038397470693	0.7216594003756013	0.6519596160252931	1.0	baseline
COG0044	0.0	0.09787892214965872	0.0406713499154496	1.517345298464289	0.5174171989936607	0.45696335015830664	0.5174171989936607	0.5430366498416934	0.5714285714285714	baseline
COG0045	0.0	1.0815509479124936	1.2412258943044951	1.6216254961495598	0.18537140949985376	0.20700917808436167	0.8146285905001462	0.7929908219156383	1.0	baseline
COG0046	0.0	0.03201397125593226	0.37416246656607627	1.5220080274057795	0.5278586068457314	0.4257229603695985	0.5278586068457314	0.5742770396304016	0.5714285714285714	endpoint
COG0047	0.0	0.3127938065548106	0.3573613690751457	1.0432617021583777	0.378465187240974	0.35191718358045504	0.621534812759026	0.6480828164195449	0.7142857142857143	baseline
COG0048	0.0	0.49525351901974446	0.030613842037463642	1.7631723552310292	0.6524167672792355	0.5349097022270285	0.6524167672792355	0.5349097022270285	0.7142857142857143	endpoint
COG0049	0.0	1.2471592485514427	1.2596902423337002	1.5987638126319208	0.8681178136543901	0.9483143175870343	0.8681178136543901	0.9483143175870343	1.0	endpoint
COG0050	0.0	0.0691686849498472	0.418017628597707	1.1499478019538456	0.46769489355615385	0.32744002845359144	0.5323051064438462	0.6725599715464086	0.5714285714285714	baseline
COG0051	0.0	0.05376608472907576	0.2593552081598625	1.2423860492857277	0.4747553751260839	0.43614775589779997	0.5252446248739161	0.5638522441022	0.7142857142857143	baseline
COG0052	0.0	0.645331769480518	1.1628506641528595	1.3467534373652525	0.3524964999790278	0.2637586584139353	0.6475035000209721	0.7362413415860647	0.7142857142857143	baseline
COG0053	0.0	0.2853434993166743	0.6948501388079503	1.5444065519646366	0.6153446790057508	0.7561588020933278	0.6153446790057508	0.7561588020933278	0.5714285714285714	endpoint
COG0054	0.14285714285714285	0.5861318069633841	0.6823296829032005	2.025333947066956	0.6710425193638223	0.7766798089093355	0.6710425193638223	0.7766798089093355	0.7142857142857143	endpoint
COG0055	0.0	0.0678821382293761	0.005501522289954407	1.5144347952022421	0.5091626718966421	0.49554557196028987	0.5091626718966421	0.5044544280397101	0.5714285714285714	baseline
COG0056	0.0	0.7507453136054096	1.1452941473493934	1.8830515793779699	0.6849343597976408	0.7809413925345975	0.6849343597976408	0.7809413925345975	0.8571428571428571	endpoint
COG0057	0.0	0.10485709873135322	0.0807599533397377	1.3200009706129117	0.4611374449250663	0.45721495669242956	0.5388625550749337	0.5427850433075705	0.5714285714285714	baseline
COG0058	0.0	1.2961192048262984	1.2692549577736254	1.5955581739476057	0.8832362371952472	0.9146126934768629	0.8832362371952472	0.9146126934768629	1.0	endpoint
COG0059	0.0	0.24976854841621213	0.8384409087774618	1.485172429825178	0.42886521167693564	0.33144215323350046	0.5711347883230644	0.6685578467664995	0.5714285714285714	baseline
COG0060	0.0	0.814917293039686	1.0580529184607774	1.5310958752051291	0.748936316549459	0.6551093348956212	0.748936316549459	0.6551093348956212	1.0	endpoint
COG0061	0.0	0.11911133434240728	0.4275435558249022	1.3813841282453034	0.4314670067313621	0.37233190286864265	0.5685329932686378	0.6276680971313573	0.5714285714285714	baseline
COG0062	0.0	0.1731249599334263	0.013241866251256628	1.3919034521642122	0.57356464099231	0.5162903108664888	0.57356464099231	0.5162903108664888	0.5714285714285714	endpoint
COG0063	0.0	0.9434329204112923	1.2775077411823157	1.7004089770890325	0.2539357973757369	0.18835799668241945	0.7460642026242631	0.8116420033175805	0.8571428571428571	baseline
COG0064	0.0	0.17797854896372037	0.7919395580865985	1.6617435546796404	0.5755281594015639	0.742755304616171	0.5755281594015639	0.742755304616171	0.5714285714285714	endpoint
COG0065	0.0	0.7513888102711128	1.162451105416706	1.7430395582588023	0.7120361694424694	0.8061846401225078	0.7120361694424694	0.8061846401225078	0.8571428571428571	endpoint
COG0066	0.0	0.4830418742222094	0.9161783458090885	1.7119360671956203	0.6703763208640552	0.7854000089089459	0.6703763208640552	0.7854000089089459	0.7142857142857143	endpoint
COG0067	0.0	0.06002035191064113	0.08654245846847727	1.3807538509018704	0.4704092849819294	0.5314899899694772	0.5295907150180705	0.5314899899694772	0.5714285714285714	baseline
COG0068	0.0	0.1643460380165557	0.05492615111921943	1.2814833873244882	0.45274758543025956	0.5299763189769261	0.5472524145697404	0.5299763189769261	0.5714285714285714	baseline
COG0069	0.0	0.18524007894868527	0.12568868201222974	1.3034809451492837	0.4330832779139005	0.47240378225761204	0.5669167220860996	0.527596217742388	0.5714285714285714	baseline
COG0070	0.0	0.11772084356982826	0.21264496769348934	1.3042379148576042	0.43142294681995424	0.5752664188248154	0.5685770531800458	0.5752664188248154	0.5714285714285714	baseline
COG0071	0.0	0.07150194817561038	0.5901287180477586	1.6418834911318565	0.5509100581276009	0.6189766544502417	0.5509100581276009	0.6189766544502417	0.5714285714285714	endpoint
COG0072	0.0	0.30688856649760926	0.6847162160945433	1.2705089976655937	0.6400265245549954	0.7307273371109819	0.6400265245549954	0.7307273371109819	0.5714285714285714	endpoint
COG0073	0.0	1.2700214998779644	1.3676204107836714	1.7260663592061791	0.85940653691421	0.9392980578902251	0.85940653691421	0.9392980578902251	1.0	endpoint
COG0074	0.0	0.706129036959904	1.0165542089698394	1.3810765105160419	0.30354762538038854	0.2660779414548105	0.6964523746196114	0.7339220585451895	0.8571428571428571	baseline
COG0075	0.0	0.6183932547595353	0.8731519659893625	1.5369000909314798	0.3431008289420411	0.2341434100776958	0.6568991710579589	0.7658565899223042	0.8571428571428571	baseline
