mode	microbiome (combined)	metabolites (combined)	everything (combined)
hit_fraction_prob	0.9975767366720517	1.0	0.9981785063752276
hit_fraction_z	1.0	1.0	1.0
max_z	0.9885057471264368	1.0	0.9908256880733946
mean_confidence	0.9981155778894473	1.0	0.9986431478968792
mean_prob	0.9931451612903226	1.0	0.9953180941889287
mean_z	0.9976717112922002	1.0	0.9983136593591906
median_confidence	0.9963503649635036	1.0	0.9975031210986267
median_prob	0.9945054945054945	0.9986789960369881	0.9960610536681438
median_z	0.9944113263785395	0.9981343283582089	0.9954739084132055
