mode	microbiome-5-month-old	microbiome-12-month-old	microbiome (combined)	metabolites-5-month-old	metabolites-12-month-old	metabolites (combined)	everything (combined)
hit_fraction_prob	745	955	1700	397	213	610	2310
hit_fraction_z	3	5	8	0	6	6	14
max_z	9	91	100	7	52	59	159
mean_confidence	771	1197	1968	476	292	768	2736
mean_prob	2239	1444	3683	1428	366	1794	5477
mean_z	1637	1849	3486	685	792	1477	4963
median_confidence	181	468	649	173	129	302	951
median_prob	1198	680	1878	906	181	1087	2965
median_z	1740	1987	3727	834	855	1689	5416
