Supplementary Table 1. Differential abundance analysis results across 5-month-old and 12-month-old groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Paired Wilcoxon rank sum test raw p-value	FDR 
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Faecalibacterium.s_Faecalibacterium.prausnitzii	NA	NA	5.259872116	12-month-old	9.26294E-09	2.32406E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Faecalibacterium.s_Faecalibacterium.sp.	NA	NA	5.721810371	12-month-old	1.28603E-08	2.32406E-05
ENOG410XT2P	Bacterial membrane protein	Function unknown	4.006168492	12-month-old	3.958E-08	2.43456E-05
ENOG410ZJR9		Function unknown	5.016593982	12-month-old	4.00185E-08	2.43456E-05
ENOG410XNUC		Function unknown	1.173117062	12-month-old	6.80736E-08	2.65994E-05
PF12958	[Protein of unknown function (DUF3847)]		1.719485359	12-month-old	5.79083E-08	2.65994E-05
ENOG4111NW5	HD Domain	Function unknown	1.95487422	12-month-old	4.66165E-08	2.65994E-05
COG0004	Ammonia permease	Inorganic ion transport and metabolism	2.431071253	12-month-old	6.80736E-08	2.65994E-05
ENOG410ZSUS	antirestriction protein (ArdA)	Function unknown	2.860405944	12-month-old	4.92208E-08	2.65994E-05
ENOG410ZYKS	Sigma-E processing peptidase spoiiga	Function unknown	2.891173137	12-month-old	5.94046E-08	2.65994E-05
ENOG410XYNB	"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits"	Function unknown	2.931438975	12-month-old	7.18311E-08	2.65994E-05
PF19537	[]		3.07255119	12-month-old	7.18311E-08	2.65994E-05
ENOG410YYF9		Function unknown	3.222173011	12-month-old	5.19659E-08	2.65994E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Roseburia.inulinivorans	NA	NA	3.258599819	12-month-old	6.11213E-08	2.65994E-05
ENOG410XZ9N	"Methyltransferase, type"	Function unknown	3.38967126	12-month-old	5.48592E-08	2.65994E-05
PF14888	[Penicillin-binding protein Tp47 domain C]		3.437720321	12-month-old	5.63822E-08	2.65994E-05
PF19727	[]		3.441628753	12-month-old	6.29096E-08	2.65994E-05
ENOG411138E		Function unknown	3.520288131	12-month-old	5.59692E-08	2.65994E-05
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Intestinibaculum.s_Intestinibaculum.porci	NA	NA	3.539687517	12-month-old	6.61298E-08	2.65994E-05
ENOG410Z9BD	RelA SpoT domain protein	Function unknown	3.547442486	12-month-old	6.98292E-08	2.65994E-05
ENOG410XNQT		Function unknown	3.645599049	12-month-old	6.61298E-08	2.65994E-05
ENOG4111R59		Function unknown	3.726494508	12-month-old	5.63822E-08	2.65994E-05
ENOG41124UP		Function unknown	3.291927307	12-month-old	7.57892E-08	2.7468E-05
PF12750	[Maff2 family]		1.484421831	12-month-old	9.38412E-08	2.82341E-05
ENOG4111P1U	integral membrane protein	Function unknown	1.755549209	12-month-old	9.89673E-08	2.82341E-05
PF06207	[Protein of unknown function (DUF1002)]		2.378677524	12-month-old	9.89673E-08	2.82341E-05
K02203	phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	"Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"	2.559143523	12-month-old	8.89725E-08	2.82341E-05
