	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0098	0.2857142857142857	meat	0.020969790302096978	1.0	100000	False
COG0099	0.0	meat	1.0	1.0	100000	False
COG0100	0.1428571428571428	meat	0.2686373136268637	1.0	100000	False
COG0101	0.0	meat	1.0	1.0	100000	False
COG0102	0.0	meat	1.0	1.0	100000	False
COG0103	0.2857142857142857	meat	0.027239727602723973	1.0	100000	False
COG0104	0.0	meat	1.0	1.0	100000	False
COG0105	0.1428571428571428	dairy	0.2073579264207358	1.0	100000	False
COG0106	0.0	meat	1.0	1.0	100000	False
COG0107	0.0	meat	1.0	1.0	100000	False
COG0108	0.1428571428571428	dairy	0.26409735902640974	1.0	100000	False
COG0109	0.0	meat	1.0	1.0	100000	False
COG0110	0.0	dairy	1.0	1.0	100000	False
COG0111	0.1428571428571428	meat	0.26300736992630075	1.0	100000	False
COG0112	0.0	meat	1.0	1.0	100000	False
COG0113	0.1428571428571428	dairy	0.18388816111838882	1.0	100000	False
COG0114	0.1428571428571428	meat	0.24011759882401176	1.0	100000	False
COG0115	0.1428571428571428	dairy	0.24538754612453875	1.0	100000	False
COG0116	0.0	dairy	1.0	1.0	100000	False
COG0117	0.1428571428571428	meat	0.24292757072429275	1.0	100000	False
COG0118	0.0	meat	1.0	1.0	100000	False
COG0119	0.0	dairy	1.0	1.0	100000	False
COG0120	0.1428571428571428	meat	0.2854471455285447	1.0	100000	False
COG0121	0.0	meat	1.0	1.0	100000	False
COG0122	0.0	meat	1.0	1.0	100000	False
COG0123	0.0	dairy	1.0	1.0	100000	False
COG0124	0.0	meat	1.0	1.0	100000	False
COG0125	0.0	meat	1.0	1.0	100000	False
COG0126	0.0	meat	1.0	1.0	100000	False
COG0127	0.1428571428571428	meat	0.3086769132308677	1.0	100000	False
COG0128	0.0	meat	1.0	1.0	100000	False
COG0129	0.0	meat	1.0	1.0	100000	False
COG0130	0.1428571428571428	meat	0.3229667703322967	1.0	100000	False
COG0131	0.1428571428571428	meat	0.3085069149308507	1.0	100000	False
COG0132	0.0	dairy	1.0	1.0	100000	False
COG0133	0.0	dairy	1.0	1.0	100000	False
COG0134	0.0	meat	1.0	1.0	100000	False
COG0135	0.1428571428571428	dairy	0.20857791422085778	1.0	100000	False
COG0136	0.0	meat	1.0	1.0	100000	False
COG0137	0.0	meat	1.0	1.0	100000	False
COG0138	0.1428571428571428	dairy	0.25145748542514573	1.0	100000	False
COG0139	0.1428571428571428	meat	0.35659643403565966	1.0	100000	False
COG0140	0.1428571428571428	meat	0.2789272107278927	1.0	100000	False
COG0141	0.0	meat	1.0	1.0	100000	False
COG0142	0.0	meat	1.0	1.0	100000	False
COG0143	0.1428571428571428	meat	0.3025869741302587	1.0	100000	False
COG0144	0.0	dairy	1.0	1.0	100000	False
COG0145	0.0	meat	1.0	1.0	100000	False
COG0147	0.1428571428571428	meat	0.27139728602713975	1.0	100000	False
COG0148	0.0	dairy	1.0	1.0	100000	False
COG0149	0.0	meat	1.0	1.0	100000	False
COG0150	0.0	dairy	1.0	1.0	100000	False
COG0151	0.1428571428571428	meat	0.2167878321216788	1.0	100000	False
COG0152	0.1428571428571428	meat	0.2863171368286317	1.0	100000	False
COG0153	0.0	dairy	1.0	1.0	100000	False
COG0154	0.1428571428571428	meat	0.2758972410275897	1.0	100000	False
COG0155	0.0	meat	1.0	1.0	100000	False
COG0156	0.0	dairy	1.0	1.0	100000	False
COG0157	0.0	meat	1.0	1.0	100000	False
COG0158	0.0	meat	1.0	1.0	100000	False
COG0159	0.0	meat	1.0	1.0	100000	False
COG0160	0.0	meat	1.0	1.0	100000	False
COG0161	0.0	dairy	1.0	1.0	100000	False
COG0162	0.0	meat	1.0	1.0	100000	False
COG0163	0.0	meat	1.0	1.0	100000	False
COG0164	0.0	meat	1.0	1.0	100000	False
COG0165	0.0	meat	1.0	1.0	100000	False
COG0166	0.0	dairy	1.0	1.0	100000	False
COG0167	0.1428571428571428	meat	0.36122638773612264	1.0	100000	False
COG0168	0.0	dairy	1.0	1.0	100000	False
COG0169	0.0	meat	1.0	1.0	100000	False
COG0171	0.0	dairy	1.0	1.0	100000	False
COG0172	0.0	meat	1.0	1.0	100000	False
COG0173	0.0	meat	1.0	1.0	100000	False
COG0174	0.1428571428571428	meat	0.2976770232297677	1.0	100000	False
COG0175	0.0	meat	1.0	1.0	100000	False
COG0176	0.0	meat	1.0	1.0	100000	False
COG0177	0.0	meat	1.0	1.0	100000	False
COG0178	0.1428571428571428	meat	0.32782672173278266	1.0	100000	False
COG0179	0.0	meat	1.0	1.0	100000	False
COG0180	0.1428571428571428	meat	0.33022669773302266	1.0	100000	False
COG0181	0.0	meat	1.0	1.0	100000	False
COG0182	0.0	meat	1.0	1.0	100000	False
COG0183	0.0	dairy	1.0	1.0	100000	False
COG0184	0.0	meat	1.0	1.0	100000	False
COG0185	0.1428571428571428	meat	0.3014169858301417	1.0	100000	False
COG0186	0.0	meat	1.0	1.0	100000	False
COG0187	0.0	meat	1.0	1.0	100000	False
COG0188	0.0	meat	1.0	1.0	100000	False
COG0189	0.0	dairy	1.0	1.0	100000	False
COG0190	0.0	meat	1.0	1.0	100000	False
COG0191	0.0	dairy	1.0	1.0	100000	False
COG0192	0.1428571428571428	dairy	0.2608973910260897	1.0	100000	False
COG0193	0.0	dairy	1.0	1.0	100000	False
COG0194	0.1428571428571428	dairy	0.25419745802541976	1.0	100000	False
COG0195	0.0	dairy	1.0	1.0	100000	False
COG0196	0.0	meat	1.0	1.0	100000	False
COG0197	0.0	meat	1.0	1.0	100000	False
